Sub,Category,Dif,Time periods,Question,Answer
1959,Movies,4,1990s,"Which 1994 superhero movie starred Jim Carrey, Cameron Diaz, and Ben Stein?",The Mask.
1960,Movies,2,1980s,Which 1988 action movie is often at the heart of debates about whether or not it is a Christmas movie?,Die Hard.
1961,Sports,3,"1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What is it called when a bowler gets three strikes in a row?,A turkey.
1962,Sports,5,"1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",The Triple Crown is awarded given to a horse that wins which three races?,"The Kentucky Derby, Preakness Stakes, and Belmont Stakes."
1963,Sports,4,1970s,"Representing Romania in 1976, Nadia Comaneci was the first Olympic gymnast to do what?",Score a perfect score.
1964,Sports,5,2020s,What small country has competed the most times in the Summer Olympics without ever winning a medal?,Leichtenstein.
1965,Sports,5,2000s,What is the only country to ever win 100 medals in a single Olympic Games?,China.
1966,Sports,1,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",How many holes are played in a standard round of golf?,Eighteen.
1967,Sports,4,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Getting a hole in two on a par 5 is known as what in golf?,An albatross or double eagle.
1968,Sports,2,"1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What color are the field goal uprights in the National Football League?,Yellow.
1969,Sports,1,"1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",In which sport is 'love' a score?,Tennis.
1970,Sports,3,"1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",How many players are on the field on defense in Major League Baseball?,Nine.
1972,Sports,4,"1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Which number is directly to the left of 20 on a standard dartboard?,Five.
1973,Sports,4,"1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Which number is directly to the right of 20 on a standard dartboard?,One.
1975,Sports,4,1990s,How old was Tiger Woods when he first won the Masters?,21
1976,Sports,1,1900-1950,"In 1910, William Howard Taft was the first US President to do what at a Major League Baseball game?",Throw the opening pitch.
1978,Sports,1,"1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Which National Football League team was originally called the New York Titans?,The New York Jets.
1979,Sports,2,2010s,What were the Arizona Coyotes known as before 2014?,The Phoneix Coyotes.
1980,Sports,5,2020s,What is the only team in the National Football League to neither host nor play in the Super Bowl?,The Cleveland Browns.
1981,Sports,5,2010s,Who was the first-ever openly gay person to be drafted by an National Football League team?,Michael Sam.
1982,Sports,4,2020s,What is the oldest team in the National Football League?,The Green Bay Packers.
1983,Sports,5,2020s,What is considered to be the oldest rivalry in the National Football League?,The Green Bay Packers and Chicago Bears.
1984,Sports,3,"1980s, 1990s, 2000s, 2010s, 2020s",What are fans of the Green Bay Packers colloquially known as?,Cheeseheads.
1986,Sports,3,"1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What does Philadelphia's NBA team name have in common with San Francisco's NFL team name?,They both have a number followed by 'ers' as their name. (76ers and 49ers)
1987,Sports,4,1990s,Which team won three Super Bowls in the 1990s?,The Dallas Cowboys.
1988,Sports,5,1980s,Which basketball player was Michael Jordan nicknamed after when he was in high school?,Magic Johnson.
1989,Sports,5,"1980s, 1990s",What is Magic Johnson's real name?,Earvin Johnson Jr.
1990,Sports,3,2000s,"Who was the youngest player to score 10,000 points in the NBA?",Lebron James.
1992,Sports,5,1900-1950,Who was the first National Basketball League player to shatter a backboard?,Chuck Connors.
1994,Sports,5,1970s,Who was the first Major League player to pitch a ball over 100 mph?,Nolan Ryan.
1995,Sports,4,"1990s, 2000s, 2010s",What is the name of Springfield's baseball team in the television series The Simpsons?,The Springfield Isotopes.
1996,Sports,5,1900-1950,Which New York Yankee firstbaseman was the first living person to appear on a Wheaties box?,Lou Gehrig.
1997,Sports,1,"1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",During which inning is Take Me Out to the Ballgame traditionally sung during baseball games?,The seventh.
1998,Sports,2,"1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What is the most stolen base in baseball?,Second base.
2000,Sports,3,1900-1950,What African country was the first ever to qualify for the World Cup of Soccer?,Egypt.
2001,Sports,1,"1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What is a soccer field called in Europe?,A pitch.
2002,Sports,4,2010s,Who was the first British soccer player to win league titles in four countries?,David Beckham.
2003,Sports,3,1990s,Which country won the first Women’s World Cup of Soccer?,The United States.
2005,Sports,2,"1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What do the rings of the Olympic logo represent?,The continents of the world.
2006,Sports,4,1900-1950,What was the first city to host the Olympics twice?,"Paris, France."
2008,Sports,5,"1970s, 1980s, 1990s, 2000s, 2010s, 2020s","In the sports world, what does BMX stand for?",Bicycle Moto X.
2009,Sports,1,"1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What is a full count in baseball?,Three balls and two strikes.
2010,Sports,2,1900-1950,Which Major League Baseball player was known as The Bambino?,Babe Ruth.
2011,Sports,1,"1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What sport starts with a tip-off or jump ball?,Basketball.
2012,Sports,1,"1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",How many rings are on the Olympic flag?,Five.
2013,Sports,4,"1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What colors are the rings on the Olympic flag?,"Blue, yellow, black, green and red."
2014,Sports,1,"1990s, 2000s, 2010s, 2020s",What shape is the ring the fighters fight in in the UFC?,An octagon.
2015,Sports,1,"1970s, 1980s, 1990s, 2000s, 2010s, 2020s","Also known as at-large berths or at-large bids, what are tournament or playoff berths awarded to an individual or team that fails to qualify in the normal way called?",Wild cards.
2016,Movies,4,1990s,Which 1995 anime movie features the character Major Motoko Kusanagi?,Ghost in the Shell.
2017,Sports,1,"1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",How many referees including linesmen are on the ice in a National Hockey League game?,Four.
2018,Music,3,2000s,The Madden twins are a part of which popular pop punk band?,Good Charlotte.
2019,Language,2,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s","What is the term for a word that phonetically imitates, resembles, or suggests the sound that it describes such as 'sizzle' or 'boom'?",Onamotapoeia.
2020,Movies,2,2000s,"John Travolta, Hugh Jackman, and Halle Berry starred in which 2001 thriller?",Swordfish.
2021,Politics,5,2010s,What fictional massacre did Kelly-Ann Conway infamously invent?,The Bowling Green Massacre.
2022,Economics,4,"1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What is the stock option called in which a buyer has the right but not the obligation to buy a stock at a certain price at or before a certain date called?,A call.
2023,Economics,4,"1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What is the stock option called in which a buyer has the right but not the obligation to sell a stock at a certain price at or before a certain date called?,A put.
2024,Economics,5,"1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What does NASDAQ stand for?,National Association of Securities Dealers Automated Quotations.
2025,Economics,3,"1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Who founded the NASDAQ?,Bernie Madoff.
2027,Economics,3,"1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Who is the long time CEO of Berkshire Hathaway?,Warren Buffett.
2028,Economics,5,"2000s, 2010s, 2020s",Who is the activist investor CEO of the hedge fund Pershing Square Capital Management?,Bill Ackman.
2029,History,5,1900-1950,On what date did Japan attack Pearl Harbor?,"December 7th, 1941."
2030,History,5,1500-1800,Which King of England was executed in 1649 during the English Civil War?,Charles I.
2031,History,4,1900-1950,In what year did Mao Zedong come to power?,1949
2032,Politics,1,"1980s, 1990s",Which politician was known as The Iron Lady?,Margaret Thatcher.
2033,Miscellaneous,2,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",How many face cards are in a standard deck of cards?,Twelve.
2034,Economics,5,"1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What are the three main stock exchanges in North America?,"The NYSE, the NASDAQ, and the TSX."
2036,Pop culture,5,2010s,Laina Morris is the star of which well-known meme?,Overly Attached Girlfriend.
2037,Pop culture,5,"2010s, 2020s",What color shirt is the distracted boyfriend wearing the Distracted Boyfriend meme?,Blue.
2038,History,4,<1500,Which dung beetle did the ancient Egyptians worship?,The scarab.
2039,History,5,1980s,"Who was shot outside the Hilton Hotel in Washington on March 30th, 1981?",Ronald Reagan.
2040,History,5,<1500,Which Greek historian is known as the Father of History?,Herotodus.
2041,History,5,1960s,Which Russian astronaut was the first man to perform a spacewalk?,Alexei Leonov.
2043,Politics,2,2010s,In which Libyan city was the American diplomatic compound attacked in September 2012?,Benghazi.
2044,Economics,3,"1980s, 1990s, 2000s, 2010s, 2020s",What is Apple's stock ticker?,AAPL.
2045,Economics,4,"1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What is Coca-Cola's stock ticker?,KO.
2046,Movies,3,1990s,From which 1998 movie is the line 'Have you seen my baseball?'?,There's Something About Mary.
2047,Economics,2,"1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s","In the stock world, what does DJIA stand for?",The Dow Jones Industrial Average.
2048,Economics,5,"1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What is the largest stock exchange in Germany?,The Frankfurt Stock Exchange.
2049,Economics,1,"1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",On what street is the New York Stock Exchange located?,Wall Street.
2050,Movies,5,1980s,What was Michael Douglas's character's name in the 1987 film Wall Street?,Gordon Gekko
2051,Economics,5,"1980s, 1990s, 2000s, 2010s, 2020s",The FTSE 100 measures stock market performance in which country?,The United Kingdom.
2052,Economics,3,"1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Which term is used to describe a payout made to shareholders representing their share of a corporation's profit?,Dividend.
2053,Economics,3,"2010s, 2020s",What is Twitter's stock ticker?,TWTR.
2054,Economics,5,"1990s, 2000s, 2010s, 2020s",What is Starbucks's stock ticker?,SBUX.
2055,Economics,5,"1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s","In the stock world, what does S&P 500 stand for?",Standard and Poor's 500.
2056,Language,3,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s","What is the term for the system of names or terms, or the rules for forming these terms in a particular field of arts or sciences?",Nomenclature.
2057,Economics,5,"1990s, 2000s, 2010s, 2020s",What company's stock ticker is XOM?,Exxon Mobil.
2061,Economics,5,"1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s","In the finance world, what does the SEC stand for?",(US) Securities and Exchange Commission.
2062,Math,1,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",The Pythagorean theorem is concerned with which type of triangles?,Right triangles.
2063,Math,5,"1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s","What is the number e, whose value is approximatell 2.71828, known as?",Euler's Number.
2064,Math,4,<1500,Who is known as the Father of Geometry?,Euclid.
2065,Math,5,1500-1800,Which German mathematician was responsible for the prime number theorem?,Johann Carl Friedrich Gauss.
2066,Math,3,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s","In mathematics, the order of operations is often abbreviated as BEDMAS. What does this stand for?","Brackets, Exponents, Division, Multiplication, Addition, Subtraction."
2067,Math,2,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Which famous mathematician has a triangle named after him?,Blaise Pascal.
2068,Math,5,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What do all of the numbers on the face of a clock add up to?,78
2069,Math,4,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s","What single digit appears most frequently between and including the numbers 1 and 1,000?",1
2071,Math,4,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s","If Frank makes two dozen plus four dollars in a fortnight, how many cents does he make per day?",200
2072,Math,2,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s","What is the sequence 1,1,2,3,5,8,13... known as?",The Fibonacci Sequece.
2073,Math,4,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What is the fifth prime number?,11
2074,Math,4,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Which prime number comes before 97?,89
2075,Math,5,"1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What does 6! equal?,720
2076,Math,3,"1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What does 4! equal?,24
2077,Nature,2,1800-1900,"In 1872, what became the first national park in the world?",Yellowstone.
2078,Nature,3,"1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Which national park comprises of tthe Mojave and the Colorado?,Joshua Tree.
2079,Language,3,<1500,"The first printed book, printed in 1473, was written in which language?",English. (The Recuyell of the Historyes of Troye )
2080,Language,1,1950s,What was the first language spoken in outer space?,Russian.
Translation,Language,2,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What does the word 'pain' mean in French?,Bread.
Translation,Language,3,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What does the word 'azul' mean in Spanish and Portuguese?,Blue.
Translation,Language,5,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What does the word 'Affe' mean in German?,Monkey.
Translation,Language,5,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What does the word 'neh' mean in Korean?,Yes.
Translation,Language,5,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What does the word 'farvel' mean in Danish?,Goodbye.
Translation,Language,5,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What does 'varsågod' mean in Swedish?,You're welcome.
Translation,Language,4,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What does 'jambo' mean in Swahili?,Hello.
Translation,Language,4,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What does 'ano' mean in Czech?,Yes.
Translation,Language,5,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What does 'dobranoc' mean in Polish?,Goodnight.
Translation,Language,4,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What does 'shukran' mean in Arabic?,Thank you.
Translation,Language,5,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What does 'dziakui' mean in Belarussian?,Thank you.
War,History,3,2020s,What was the name of the Russian ship sunk in the Black Sea in 2022 that was the largest military ship sunk in a conflict since World War II?,Moskva.
Languages,Language,4,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Which country's official languages are Pashto and Dari?,Afghanistan.
Languages,Language,3,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Which country's official language is Bengali?,Bangladesh.
Languages,Language,5,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Which country's official language is Dzongkha?,Bhutan.
Languages,Language,5,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What is the official lanugage of Cambodia?,Khmer.
Languages,Language,1,"1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What are the two official languages of Canada?,English and French.
Languages,Language,5,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Which country's official language is Tigrinya?,Eritrea.
Languages,Language,2,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Which country's official language is Persian?,Iran.
Languages,Language,2,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Which country's official language is Malay?,Malaysia.
Languages,Language,4,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What is the official language of Moldova?,Romanian.
2102,Technology,4,1970s,What was the first computer system that used color display?,The Apple I.
2103,Technology,5,1950s,What was the first mass-produced computer?,The IBM 650.
2104,Technology,1,"1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s","In the computer world, what does CPU stand for?",Central Processing Unit.
2105,Technology,2,"1990s, 2000s, 2010s, 2020s","In the computer world, what does GPU stand for?",Graphics Processing Unit.
2106,Technology,3,"1990s, 2000s, 2010s, 2020s","In the computer world, what does the slang MoBo stand for?",Motherboard.
2107,Technology,2,"1990s, 2000s, 2010s, 2020s","Laser, Dot Matrix, and Inkjet are types of which computer device?",Printers.
2108,Technology,1,1970s,Which two people co-founded Apple Computer in 1977?,Steve Jobs and Steve Wozniak.
2109,Technology,2,"1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What do the letters in the tech company IBM stand for?,International Business Machines.
2110,Technology,5,"1980s, 1990s, 2000s, 2010s, 2020s",Which 1982 computer is listed in the Guiness Book of World Records as the highest selling computer system ever sold?,The Commodore 64.
2111,Technology,4,1990s,"In 1995, the USB port was invented by Ajay Bhatt while working at which American tech company?",Intel.
2112,Technology,2,"1980s, 1990s, 2000s, 2010s, 2020s",.xls is a file extension used in which application?,Microsoft Excel.
2113,Technology,4,"1980s, 1990s, 2000s, 2010s, 2020s","In the computer world, what does CSV stand for?",Comma Separated Values.
2114,Technology,3,"1990s, 2000s, 2010s, 2020s",What type of applications are available with a source code to modify and add features to it?,Open source.
2115,Technology,5,"1980s, 1990s, 2000s, 2010s, 2020s","In the tech world, what does ISDN stand for?",Integrated Services Digital Network.
2116,Technology,4,"1980s, 1990s, 2000s, 2010s, 2020s","Secret-key, public key, elliptical curve, and hash function are types of what?",Cryptography.
2117,Technology,4,"1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What is a computer program that translates computer code written in one programming language into another language called?,A compiler.
2118,Technology,2,2010s,Which company bought Oculus VR in 2014?,Facebook.
2120,Technology,4,2000s,What year did the first Apple iPhone launch?,2007
2121,Technology,5,1990s,"Created in 1990, what was the name of the first internet search engine?",Archie.
2122,Technology,4,"2010s, 2020s","Ever since 2017, how many characters long can tweets be?",280
2123,Technology,3,"2010s, 2020s",What is the name of Elon Musk's digital brain interface implant company?,Neuralink.
2124,Art,1,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What is the name for the upright support used for holding a canvas while it is painted?,Easel.
2125,Art,1,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What are the three primary colors?,"Red, yellow, and blue."
2126,Art,5,1900-1950,Which 20th century modern artist movement emphasizes painterly qualities and strong color over the representational or realistic values retained by Impressionism?,Fauvism.
2127,Art,2,"1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",In which city is the Metropolitan Museum of Art located?,New York City.
2128,Art,4,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s","In color theory, what is the term for the degree to which a stimulus can be described as similar to or different from stimuli that are described as red, orange, yellow, green, blue, or violet?",Hue.
2129,Art,2,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Which city is known as the Art Capital of the World?,"Paris, France."
2130,Art,3,1800-1900,Which artist committed suicide while painting Wheat Field with Crows?,Vincent van Gogh.
2131,Art,3,1800-1900,Which famous artist painted The Sunflowers?,Vincent van Gogh.
2132,Art,5,1800-1900,Which art movement does the painting The Scream belong to?,Proto-Expressionism.
2133,Art,5,1900-1950,Analytical cubism was developed by which artist?,Georges Braque.
2134,Art,1,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Inukshuks are usually made of what?,Stones.
2135,Art,3,"1970s, 1980s, 1990s, 2000s, 2010s, 2020s",In which country is the world's tallest totem pole located?,Canada.
2136,Art,5,1500-1800,What was the world's first public art museum?,The Ashmolean in Oxford.
2137,Art,4,"1800-1900, 1900-1950",The obsession with ballerinas is famous for which French artist?,Germain-Edgar Degas.
2138,Art,4,1800-1900,Which French painter is known for having pioneered pointillism?,Georges Seurat.
2140,Art,4,1900-1950,Fantasmagorie is considered to be the world's first film to be all what?,Animated.
2141,Art,5,"1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What is world’s largest art festival?,The Edinburgh Festival Fringe.
2142,Art,4,1900-1950,Which famous artist said 'Everything you can imagine is real.'?,Pablo Picasso.
2143,Nature,4,"1980s, 1990s, 2000s, 2010s, 2020s","Certain sea turtles, birds, fish, and lobsters have a special sense that allows them to sense what to help with navigation?",Earth's magnetic field.
2144,Pop culture,5,"2010s, 2020s",What is the name of the meme that features a dinosaur and philosophical sayings?,Philosoraptor.
2145,Science,4,1800-1900,Which scientist has a cage named after him?,Michael Faraday.
2146,Geography,4,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Which two countries does Patagonia span?,Chile and Argentina.
2147,Music,5,"2000s, 2010s, 2020s",Which band got their name from the website domain of a pornstar?,Alexisonfire.
2148,Language,1,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Cat is to feline as dog is to what?,Canine.
2149,History,5,1500-1800,"Which infamous French prison was stormed on July 14th, 1789?",The Bastille.
2150,History,3,1800-1900,In which year did the War of 1812 end?,1815
2151,History,5,1800-1900,"In 1875, who was the first man to swim the English Channel?",Matthew Webb.
2153,History,3,<1500,What is the name of the first known human civilization?,Mesopotamia.
2154,Language,5,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What does 'The Magna Carta' mean?,The Great Charter.
2155,Nature,1,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Super tuskers are types of what animal?,Elephants.
2156,Nature,1,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What is the difference of the number of limbs a squid has and the number of limbs an octopus has?,Two.
2157,History,3,<1500,Who is known for running through the streets yelling 'Eureka!'?,Archimedes.
2158,History,5,1990s,What is the name of the first female Hispanic astronaut?,Ellen Ochoa.
2159,History,2,<1500,How did Joan of Arc die?,She was burned at the stake.
2160,History,3,<1500,Who was the emperor of Rome from AD 54 to AD 68?,Nero.
2161,History,5,1900-1950,In which year was Mahatma Gandhi killed?,1948
2162,History,1,1900-1950,Who led the USSR from 1917-1922?,Vladimir Lenin.
2163,History,2,<1500,The Incan Empire was located in which modern-day country?,Peru.
2164,History,4,1500-1800,The Great Fire of London happened in which year?,1666
2165,History,1,1900-1950,In which war did the Battle of the Bulge take place?,World War II.
2166,History,3,1800-1900,In which war did the Battle of Antietam take place?,The American Civil War.
2167,Technology,1,1800-1900,Who invented the telephone?,Alexander Graham Bell.
2168,Politics,3,1970s,"Before independence, what was Bangladesh called?",East Pakistan.
2169,Politics,2,1900-1950,What nation separated from the United Kingdom in 1921?,Ireland.
2170,Nature,4,1990s,In which country was the largest known T-Rex skeleton found?,Canada.
2171,Music,5,"1980s, 1990s, 2000s, 2010s, 2020s",What do the letters in the retail store HMV stand for?,His Master's Voice.
2172,Science,4,"1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What does AIDS stand for?,Acquired ImmunoDeficiency Syndrome.
2173,History,1,1900-1950,In which year did World War I begin?,1914
2174,History,2,1800-1900,In which country was Adolf Hitler born?,Austria.
2175,Pop culture,4,1970s,In which country was Elon Musk born?,South Africa.
2176,History,3,<1500,What is the name of the disease that ravaged and killed a third of Europe’s population in the 14th century?,The Bubonic Plague.
2177,History,4,1960s,In which year was the Six Day War?,1967
2178,Television,5,"2000s, 2010s",Which actor narrated the television series How I Met Your Mother?,Bob Saget.
2179,History,3,1960s,In which city was John F Kennedy assassinated?,"Dallas, Texas."
2180,History,2,<1500,The Hundred Years War was fought between what two countries?,England and France.
2181,History,3,1980s,What is the one disease that humanity has officially completely eradicated?,Smallpox.
2183,History,2,2020s,What is the longest war in US history?,The Afghan War.
2184,History,4,<1500,The ancient Mayan civilization existed in which modern-day country?,Guatemala.
2185,History,2,<1500,The Vikings discovered which massive island?,Greenland.
2187,History,3,2000s,"Which organization orchestrated a terrorist attack against the United States on September 11th, 2001?",Al Qaeda.
2188,History,4,<1500,Which human ancestor was the first to discover fire?,Homo erectus.
2189,History,1,1800-1900,"In 1865, who assassinated Abraham Lincoln?",John Wilkes Booth.
2190,Television,1,2010s,Who succeeded Jon Stewart as the host of The Daily Show?,Trevor Noah.
2191,History,3,<1500,In which country was Cleopatra born?,Greece.
2192,History,2,2000s,What category was Hurricane Katrina when it made landfall in 2005?,Category 3.
2193,History,2,1980s,"In 1986, how many astronauts died aboard the Challenger space shuttle?",Seven.
